tool,ind_sub,group_name,subgroup,es.mean,es.lower,es.upper,pval,I2,p_subgroup,n_study,n_obs,p.star,design
POMS,Anger,age_group,Older adults,-0.17397069333020201,-0.5446296694662761,0.19668828280587206,0.281584308,0,6.535877e-4,7,NA,,exp
POMS,Anxiety,age_group,Young adults,-0.9770749299392032,-1.1548299752794824,-0.799319884598924,0,0.89,1.3614e-6,81,NA,***,exp
POMS,Anxiety,age_group,Adults,-0.5746043295893285,-0.8909610482750561,-0.258247610903601,0.0014140668,0.72,1.3614e-6,17,NA,**,exp
POMS,Anxiety,age_group,Adolescents,-0.32226168300719266,-0.7429507970600282,0.09842743104564289,0.1332529594,NA,1.3614e-6,1,NA,,exp
POMS,Anxiety,age_group,Older adults,-0.3333663202013808,-0.5346655143604615,-0.13206712604230006,0.0067089031,0,1.3614e-6,7,NA,**,exp
POMS,Confusion,age_group,Young adults,-1.0059998415992515,-1.1887157772238608,-0.8232839059746422,0,0.91,0,80,NA,***,exp
POMS,Confusion,age_group,Adults,-0.28028258237682524,-0.4062607584322344,-0.15430440632141607,2.979415e-4,0.07,0,15,NA,***,exp
POMS,Confusion,age_group,Older adults,-0.203922344889814,-0.3724902430861944,-0.03535444669343363,0.025279244,0,0,7,NA,*,exp
POMS,Depression,age_group,Young adults,-0.6847127036948792,-0.8358627821697753,-0.5335626252199832,0,0.87,1.08893e-5,80,NA,***,exp
POMS,Depression,age_group,Adults,-0.23214459746562857,-0.37026774409356633,-0.09402145083769081,0.0025946021,0.25,1.08893e-5,17,NA,**,exp
POMS,Depression,age_group,Older adults,-0.2817519489406458,-0.4712774999071636,-0.09222639797412802,0.0108657176,0,1.08893e-5,7,NA,*,exp
POMS,Fatigue,age_group,Young adults,-0.8656372635931022,-0.9996559874111095,-0.731618539775095,0,0.85,1.443e-7,80,NA,***,exp
POMS,Fatigue,age_group,Adults,-0.2957608727585598,-0.5124599494482527,-0.07906179606886687,0.0102400452,0.65,1.443e-7,19,NA,*,exp
POMS,Fatigue,age_group,Older adults,-0.32732537175940235,-0.5748599750900937,-0.079790768428711,0.0177836882,0,1.443e-7,7,NA,*,exp
POMS,TMD,age_group,Adults,-0.4842018472553809,-0.6813853780596215,-0.2870183164511403,4.21154e-5,0.77,1.775703e-4,25,NA,***,exp
POMS,TMD,age_group,Young adults,-1.0299817403495264,-1.316110246934888,-0.7438532337641648,1.434e-7,0.91,1.775703e-4,24,NA,***,exp
POMS,TMD,age_group,Older adults,-0.4164896964453267,-0.542811249160309,-0.2901681437303444,1.941752e-4,0,1.775703e-4,7,NA,***,exp
POMS,Vigor,age_group,Young adults,1.755451185106762,1.2907917634793136,2.2201106067342105,1e-10,0.95,3e-10,78,NA,***,exp
POMS,Vigor,age_group,Adults,0.5168873890750331,0.2296147501204459,0.8041600280296202,0.0013706306,0.73,3e-10,19,NA,**,exp
POMS,Vigor,age_group,Older adults,0.20962980741608478,0.0737781688588792,0.34548144597329034,0.0092259347,0,3e-10,7,NA,**,exp
POMS,Anger,density_class,High density,-0.8272832158494913,-1.033302877639104,-0.6212635540598785,0,0.88,1.639752e-4,67,NA,***,exp
POMS,Anger,density_class,Low density,-0.31674524607968263,-0.6588468036631628,0.02535631150379758,0.0576190246,0,1.639752e-4,3,NA,,exp
POMS,Anger,density_class,Medium density,-0.3605466602124059,-0.5295563161529669,-0.1915370042718448,3.15178e-4,0.44,1.639752e-4,18,NA,***,exp
POMS,Anxiety,density_class,High density,-1.0315909000776715,-1.2455769380352206,-0.8176048621201224,0,0.91,0.0132500155,69,NA,***,exp
POMS,Anxiety,density_class,Low density,-0.9487898469112236,-2.7110580491005445,0.8134783552780974,0.1464835095,0.73,0.0132500155,3,NA,,exp
POMS,Anxiety,density_class,Medium density,-0.5596852473871541,-0.8139684807320524,-0.30540201404225575,2.323691e-4,0.72,0.0132500155,18,NA,***,exp
POMS,Confusion,density_class,High density,-1.1072092117120784,-1.3250804882084843,-0.8893379352156725,0,0.92,1.976e-7,66,NA,***,exp
POMS,Confusion,density_class,Low density,-0.818040416427162,-1.8138276280194874,0.17774679516516345,0.0715558986,0.34,1.976e-7,3,NA,,exp
POMS,Confusion,density_class,Medium density,-0.38248271202175155,-0.5400938235905361,-0.224871600452967,9.79043e-5,0.37,1.976e-7,17,NA,***,exp
POMS,Depression,density_class,High density,-0.7837996599305297,-0.9636772225132222,-0.6039220973478372,0,0.89,7.5122e-6,67,NA,***,exp
POMS,Depression,density_class,Low density,-0.24474299266991095,-0.624065798534052,0.13457981319423007,0.1089560627,0,7.5122e-6,3,NA,,exp
POMS,Depression,density_class,Medium density,-0.29277298410745084,-0.4387646594450304,-0.14678130876987125,5.626535e-4,0.33,7.5122e-6,18,NA,***,exp
POMS,Fatigue,density_class,High density,-0.9203695472400595,-1.0902271220308468,-0.7505119724492721,0,0.87,8.0199e-6,67,NA,***,exp
POMS,Fatigue,density_class,Low density,-0.49764017961235085,-1.014239145061121,0.0189587858364193,0.0535756984,0,8.0199e-6,3,NA,,exp
POMS,Fatigue,density_class,Medium density,-0.3975353961868878,-0.5417769603181093,-0.25329383205566636,1.47278e-5,0.42,8.0199e-6,20,NA,***,exp
POMS,TMD,density_class,High density,-0.6931039767752195,-0.9113311003655126,-0.47487685318492645,1.995e-7,0.88,0.0070810765,36,NA,***,exp
POMS,TMD,density_class,Low density,-0.8989932758717102,-2.164883161432712,0.3668966096892917,0.0924858736,0.6,0.0070810765,3,NA,,exp
POMS,TMD,density_class,Medium density,-0.27011166990274255,-0.6028343921133577,0.06261105230787256,0.0815262637,0,0.0070810765,4,NA,,exp
POMS,Vigor,density_class,High density,1.9676898981893485,1.4451976290005228,2.4901821673781743,2e-10,0.96,1.395e-7,68,NA,***,exp
POMS,Vigor,density_class,Low density,0.5037558620319238,-0.10700551856676599,1.1145172426306136,0.0710441285,0,1.395e-7,3,NA,,exp
POMS,Vigor,density_class,Medium density,0.37835652782504,0.14178953527516736,0.6149235203749126,0.0033828417,0.7,1.395e-7,20,NA,**,exp
